product_id,product_name,category,subcategory,brand,price,cost,weight,dimensions,color,material,stock_quantity,reorder_level,supplier_id,launch_date,rating,is_discontinued
PROD_000001,Quality-focused 24/7 process improvement,Toys,Toys_Sub_3,Taylor-Dunlap,754.09,453.49,17.99,36x27x11,Gray,Metal,260,70,SUPP_056,2024-08-16,2.1,False
PROD_000002,Customer-focused transitional projection,Beauty,Beauty_Sub_5,Payne-Williams,451.95,305.75,26.1,31x38x13,Bisque,Wood,699,17,SUPP_046,2022-12-02,1.3,False
PROD_000003,Adaptive cohesive support,Sports,Sports_Sub_3,Savage LLC,115.45,90.81,8.84,21x24x21,Beige,Plastic,788,75,SUPP_076,2024-10-03,3.4,False
PROD_000004,Fully-configurable needs-based initiative,Electronics,Electronics_Sub_2,"Moore, Andrews and Pacheco",803.66,616.65,41.68,17x38x31,Lime,Fabric,436,12,SUPP_066,2023-12-05,4.1,False
PROD_000005,Sharable next generation benchmark,Automotive,Automotive_Sub_1,"Gutierrez, Vargas and Estrada",732.89,478.98,22.69,20x31x17,Gold,Plastic,903,89,SUPP_039,2024-07-05,4.2,False
PROD_000006,Synchronized exuding definition,Home & Garden,Home & Garden_Sub_5,"Allen, Brown and Smith",646.56,416.82,3.13,7x49x26,DarkSalmon,Leather,49,79,SUPP_079,2023-02-23,3.9,False
PROD_000007,Re-contextualized static superstructure,Sports,Sports_Sub_1,Hamilton and Sons,220.47,170.56,33.43,5x42x32,DarkGreen,Leather,67,87,SUPP_061,2022-11-19,3.4,True
PROD_000008,Networked zero administration throughput,Automotive,Automotive_Sub_2,"Lee, Baker and Tanner",842.29,594.09,16.9,14x40x22,MediumPurple,Plastic,214,56,SUPP_050,2023-06-30,3.4,False
PROD_000009,Quality-focused full-range orchestration,Sports,Sports_Sub_3,"Gonzalez, Richard and Sanchez",915.23,640.34,23.26,27x29x49,DodgerBlue,Glass,306,75,SUPP_002,2025-05-24,3.3,False
PROD_000010,Multi-layered empowering function,Home & Garden,Home & Garden_Sub_5,"Evans, Petersen and Davis",258.7,155.28,1.04,26x42x45,LightCyan,Fabric,46,27,SUPP_085,2024-02-24,4.9,False
PROD_000011,Future-proofed background budgetary management,Sports,Sports_Sub_3,Crawford-Frey,155.67,97.76,43.61,7x19x10,MediumOrchid,Wood,933,77,SUPP_077,2024-06-29,4.9,False
PROD_000012,Decentralized reciprocal neural-net,Sports,Sports_Sub_5,"Schmidt, Torres and Reese",843.12,618.0,0.98,17x24x14,GhostWhite,Plastic,232,22,SUPP_073,2023-11-16,4.0,False
PROD_000013,Reactive even-keeled forecast,Automotive,Automotive_Sub_3,"Conley, Thompson and Howard",537.26,401.64,23.07,44x28x12,Aquamarine,Leather,316,18,SUPP_066,2025-02-11,4.6,False
PROD_000014,Face-to-face zero administration adapter,Books,Books_Sub_2,"Logan, Ray and Gillespie",13.66,10.76,26.15,13x43x25,DeepSkyBlue,Leather,532,60,SUPP_090,2022-11-26,3.1,False
PROD_000015,Robust tangible implementation,Clothing,Clothing_Sub_5,Lee Inc,426.08,287.75,12.31,19x15x32,Purple,Plastic,754,92,SUPP_047,2025-06-30,3.9,False
PROD_000016,Focused responsive groupware,Sports,Sports_Sub_2,"Williams, Hall and Erickson",464.65,314.47,41.95,23x38x18,Red,Plastic,869,66,SUPP_025,2023-01-06,3.8,True
PROD_000017,Vision-oriented encompassing frame,Books,Books_Sub_5,Wilson-Miles,221.5,156.86,48.33,48x10x28,DarkOrange,Plastic,831,77,SUPP_098,2024-05-12,1.4,True
PROD_000018,Secured disintermediate project,Books,Books_Sub_3,"Browning, Moody and Brown",781.15,472.35,44.33,28x26x41,DarkCyan,Wood,424,89,SUPP_071,2025-06-25,3.4,False
PROD_000019,Grass-roots static knowledge user,Beauty,Beauty_Sub_2,Owens and Sons,243.21,174.1,23.06,14x19x46,Green,Glass,121,67,SUPP_080,2023-03-11,3.0,False
PROD_000020,Business-focused fresh-thinking leverage,Books,Books_Sub_2,Zimmerman PLC,235.72,182.58,34.0,41x8x7,MediumSeaGreen,Leather,832,64,SUPP_041,2024-02-07,4.3,False
PROD_000021,Profit-focused demand-driven approach,Automotive,Automotive_Sub_1,Hernandez-Fowler,674.39,464.68,27.65,34x33x42,Cyan,Wood,720,43,SUPP_010,2024-05-03,3.5,False
PROD_000022,Decentralized asymmetric database,Automotive,Automotive_Sub_3,Smith PLC,320.74,222.13,29.71,9x39x39,LimeGreen,Fabric,701,15,SUPP_058,2024-03-31,4.0,True
PROD_000023,Customer-focused heuristic protocol,Clothing,Clothing_Sub_3,Taylor-Diaz,587.35,441.93,16.09,43x8x40,Linen,Fabric,309,57,SUPP_066,2024-09-02,5.0,False
PROD_000024,Advanced hybrid customer loyalty,Beauty,Beauty_Sub_2,Baxter-Smith,410.94,317.35,27.54,37x21x40,Gold,Fabric,453,62,SUPP_027,2024-04-20,3.1,True
PROD_000025,Horizontal fresh-thinking artificial intelligence,Electronics,Electronics_Sub_4,Bennett-Baker,404.61,291.53,7.63,42x30x48,YellowGreen,Plastic,184,24,SUPP_081,2022-12-17,4.1,False
PROD_000026,Total 5thgeneration Local Area Network,Toys,Toys_Sub_1,Benson Ltd,551.71,424.52,40.38,11x14x41,LimeGreen,Leather,808,79,SUPP_067,2024-01-19,3.6,False
PROD_000027,Multi-tiered clear-thinking initiative,Clothing,Clothing_Sub_5,Lynn Inc,769.35,592.37,40.79,6x46x36,CornflowerBlue,Plastic,937,61,SUPP_050,2025-03-22,3.9,False
PROD_000028,Progressive contextually-based initiative,Electronics,Electronics_Sub_1,Williams and Sons,56.6,44.07,29.35,19x35x14,DeepPink,Fabric,568,28,SUPP_050,2022-09-25,3.2,False
PROD_000029,Persevering incremental infrastructure,Home & Garden,Home & Garden_Sub_3,"Knight, Wilson and Kelly",906.24,601.05,25.62,32x47x24,LightSteelBlue,Fabric,923,68,SUPP_006,2025-06-20,2.0,False
PROD_000030,Universal human-resource artificial intelligence,Beauty,Beauty_Sub_4,Sanchez and Sons,334.62,254.34,25.6,31x38x19,Maroon,Metal,346,55,SUPP_089,2025-01-03,2.8,False
PROD_000031,Fundamental optimal customer loyalty,Automotive,Automotive_Sub_2,Gardner-Rosario,742.34,570.73,38.32,47x18x11,FloralWhite,Wood,337,53,SUPP_081,2023-01-17,1.2,True
PROD_000032,Optimized discrete structure,Toys,Toys_Sub_4,Adams-Holland,679.36,508.05,1.73,13x46x10,PowderBlue,Fabric,489,89,SUPP_078,2023-03-31,3.7,False
PROD_000033,Triple-buffered high-level customer loyalty,Sports,Sports_Sub_3,Long PLC,270.77,210.54,15.63,37x39x18,Silver,Plastic,995,19,SUPP_040,2025-05-27,1.3,False
PROD_000034,User-centric foreground monitoring,Electronics,Electronics_Sub_1,Delgado and Sons,755.02,547.81,46.82,46x25x8,YellowGreen,Metal,410,78,SUPP_057,2023-01-06,1.5,False
PROD_000035,Grass-roots encompassing knowledge user,Beauty,Beauty_Sub_5,Grant-Murphy,605.72,470.34,37.21,42x45x33,GreenYellow,Glass,632,67,SUPP_069,2024-12-31,1.2,False
PROD_000036,Re-engineered human-resource application,Home & Garden,Home & Garden_Sub_3,Alexander-Anderson,806.25,531.07,31.42,27x32x37,DarkBlue,Wood,269,62,SUPP_061,2023-02-07,3.3,False
PROD_000037,Adaptive 4thgeneration hub,Home & Garden,Home & Garden_Sub_4,"Gutierrez, Woods and Bishop",728.37,468.87,21.42,24x6x9,LightGreen,Glass,223,27,SUPP_079,2023-09-25,2.3,False
PROD_000038,Programmable non-volatile paradigm,Automotive,Automotive_Sub_5,James-Arnold,665.29,492.75,43.44,27x42x36,DarkOrchid,Wood,463,100,SUPP_021,2025-01-30,3.4,False
PROD_000039,Centralized explicit standardization,Books,Books_Sub_4,Saunders Ltd,241.19,162.48,25.5,40x18x50,DarkViolet,Plastic,139,82,SUPP_012,2025-02-23,2.3,False
PROD_000040,Optional logistical encoding,Sports,Sports_Sub_2,Torres Ltd,995.97,722.44,11.42,16x24x10,MediumAquaMarine,Glass,875,57,SUPP_009,2023-06-28,3.2,True
PROD_000041,Integrated regional success,Sports,Sports_Sub_5,"Hill, Webster and Williams",254.96,189.13,21.7,29x6x34,IndianRed,Metal,307,47,SUPP_050,2023-01-02,4.4,False
PROD_000042,Progressive bottom-line superstructure,Beauty,Beauty_Sub_2,Montoya-Banks,729.88,509.03,17.33,45x41x27,ForestGreen,Fabric,290,93,SUPP_011,2022-09-08,4.7,False
PROD_000043,Down-sized tertiary policy,Clothing,Clothing_Sub_4,"Davidson, Logan and Nichols",73.01,51.86,0.25,5x15x15,Violet,Plastic,525,95,SUPP_013,2023-07-27,2.6,False
PROD_000044,Persistent fault-tolerant process improvement,Sports,Sports_Sub_1,"Mitchell, Clark and Wright",235.65,179.91,38.18,22x47x35,DeepSkyBlue,Glass,715,17,SUPP_091,2024-12-31,3.4,False
PROD_000045,Compatible eco-centric monitoring,Home & Garden,Home & Garden_Sub_4,Davis-Smith,812.75,526.88,14.46,13x42x13,Turquoise,Fabric,414,46,SUPP_086,2022-07-30,3.5,False
PROD_000046,Business-focused solution-oriented software,Home & Garden,Home & Garden_Sub_1,Mcdonald-Adams,813.79,621.6,21.3,45x27x6,LimeGreen,Fabric,743,92,SUPP_075,2023-05-16,2.5,False
PROD_000047,Proactive bandwidth-monitored Internet solution,Clothing,Clothing_Sub_5,"Williams, Fernandez and Contreras",891.78,704.96,20.84,33x34x12,LightSteelBlue,Fabric,764,58,SUPP_054,2022-08-02,2.7,False
PROD_000048,Public-key clear-thinking standardization,Electronics,Electronics_Sub_2,Newton-Miller,997.41,793.71,37.36,20x22x16,DeepSkyBlue,Plastic,137,26,SUPP_018,2023-12-30,3.7,True
PROD_000049,Triple-buffered tertiary definition,Sports,Sports_Sub_5,Osborn-Anderson,592.5,443.23,2.08,18x33x32,YellowGreen,Fabric,226,63,SUPP_063,2023-05-26,2.4,False
PROD_000050,Right-sized fault-tolerant archive,Clothing,Clothing_Sub_4,"Lindsey, Hardy and Mcconnell",865.6,524.02,30.75,25x14x45,PaleVioletRed,Wood,282,61,SUPP_016,2023-07-23,2.1,False
PROD_000051,Multi-lateral zero-defect matrices,Books,Books_Sub_2,Jensen and Sons,252.86,158.8,42.93,9x34x24,Moccasin,Glass,929,56,SUPP_056,2023-03-10,4.5,False
PROD_000052,Programmable web-enabled success,Beauty,Beauty_Sub_1,Mcdowell-Roberts,118.94,79.85,19.25,36x13x29,DarkSlateBlue,Metal,68,82,SUPP_075,2024-11-14,4.1,False
PROD_000053,Object-based methodical functionalities,Beauty,Beauty_Sub_5,Wilson Group,637.37,415.91,17.87,15x45x16,Plum,Glass,701,66,SUPP_049,2025-06-20,4.4,False
PROD_000054,Customizable bandwidth-monitored contingency,Clothing,Clothing_Sub_3,Gonzales Ltd,611.78,455.41,1.41,40x25x5,MediumSlateBlue,Metal,760,52,SUPP_044,2023-01-13,1.3,False
PROD_000055,Front-line executive approach,Home & Garden,Home & Garden_Sub_3,Ward LLC,781.69,504.77,46.28,21x40x30,MediumSeaGreen,Glass,144,33,SUPP_069,2023-04-02,4.6,False
PROD_000056,Optional human-resource synergy,Electronics,Electronics_Sub_3,Hunt-Bartlett,474.13,292.41,12.14,19x9x21,DarkMagenta,Wood,282,58,SUPP_094,2024-10-18,4.0,False
PROD_000057,Right-sized local Graphical User Interface,Automotive,Automotive_Sub_3,"Leonard, Lopez and Pineda",584.46,405.21,9.98,27x10x12,SteelBlue,Wood,713,85,SUPP_059,2025-07-20,3.1,False
PROD_000058,Streamlined zero-defect benchmark,Toys,Toys_Sub_2,Flowers PLC,72.89,53.22,43.75,5x23x5,Plum,Fabric,329,46,SUPP_032,2023-12-04,2.8,False
PROD_000059,Organized uniform groupware,Beauty,Beauty_Sub_1,"Ford, Lee and Williams",518.69,361.05,2.68,38x28x37,Cyan,Plastic,61,22,SUPP_093,2025-01-12,3.8,False
PROD_000060,Exclusive systematic forecast,Home & Garden,Home & Garden_Sub_1,Lee Group,318.9,202.24,29.16,25x10x9,Chocolate,Wood,234,65,SUPP_062,2022-09-16,3.1,False
PROD_000061,Virtual intangible service-desk,Clothing,Clothing_Sub_1,Freeman-Barajas,491.03,326.05,27.47,40x34x11,Gold,Plastic,629,95,SUPP_052,2024-08-27,3.5,False
PROD_000062,Proactive didactic Graphical User Interface,Sports,Sports_Sub_2,Williams and Sons,337.36,257.88,22.76,8x31x46,DarkCyan,Fabric,667,10,SUPP_019,2025-07-07,4.5,True
PROD_000063,Down-sized discrete open architecture,Home & Garden,Home & Garden_Sub_2,Reynolds and Sons,925.25,564.92,36.1,28x21x16,Turquoise,Leather,760,35,SUPP_002,2022-10-03,2.6,False
PROD_000064,Integrated asymmetric array,Home & Garden,Home & Garden_Sub_1,Martinez Group,193.17,151.27,25.16,26x46x49,Chartreuse,Wood,931,99,SUPP_003,2023-03-21,3.7,False
PROD_000065,Fundamental 5thgeneration installation,Books,Books_Sub_2,Harris-Howard,295.42,181.71,4.87,23x14x6,GreenYellow,Glass,418,71,SUPP_005,2024-07-18,1.4,False
PROD_000066,Multi-lateral explicit adapter,Toys,Toys_Sub_5,Spears-Vazquez,570.73,439.79,1.05,30x32x20,SaddleBrown,Metal,869,76,SUPP_019,2023-11-16,1.5,False
PROD_000067,Extended interactive open system,Sports,Sports_Sub_1,Garrison and Sons,41.19,30.11,16.04,42x13x16,AliceBlue,Leather,180,16,SUPP_048,2024-02-06,2.5,False
PROD_000068,Streamlined secondary neural-net,Clothing,Clothing_Sub_5,Yang-Stephens,759.93,485.21,42.53,12x18x21,Gray,Fabric,314,36,SUPP_029,2023-08-28,3.3,False
PROD_000069,Down-sized background protocol,Books,Books_Sub_3,Woods-Chapman,189.72,146.46,19.0,12x18x15,LightSkyBlue,Metal,750,86,SUPP_033,2023-06-27,2.3,False
PROD_000070,Compatible multimedia array,Sports,Sports_Sub_3,Romero Inc,134.98,85.67,15.28,37x30x24,Sienna,Wood,624,66,SUPP_055,2022-11-03,4.2,False
PROD_000071,Monitored national hierarchy,Beauty,Beauty_Sub_4,Parks Inc,201.39,146.01,8.78,8x42x27,SteelBlue,Metal,447,68,SUPP_082,2024-11-21,3.7,False
PROD_000072,Organic static focus group,Home & Garden,Home & Garden_Sub_3,"Smith, Thompson and Tyler",665.25,502.18,27.55,45x28x16,DarkSeaGreen,Fabric,483,39,SUPP_046,2025-03-24,2.6,False
PROD_000073,User-centric regional hierarchy,Toys,Toys_Sub_2,"Gilbert, Butler and Cisneros",997.31,777.35,49.09,30x28x26,DarkSlateGray,Fabric,867,18,SUPP_035,2024-02-20,3.0,False
PROD_000074,Mandatory coherent utilization,Books,Books_Sub_3,"Williams, Ramsey and Owen",789.66,597.42,43.63,37x8x44,Ivory,Glass,426,48,SUPP_014,2024-08-13,2.1,False
PROD_000075,Reactive intangible hierarchy,Toys,Toys_Sub_2,"Davila, Coleman and Duncan",256.72,167.94,42.46,49x28x15,SeaShell,Wood,899,66,SUPP_100,2024-09-20,5.0,False
PROD_000076,Distributed heuristic open architecture,Beauty,Beauty_Sub_4,"Patton, Murillo and Smith",722.48,451.88,33.38,26x18x40,GreenYellow,Fabric,715,98,SUPP_090,2025-04-20,4.7,False
PROD_000077,Phased didactic Graphical User Interface,Toys,Toys_Sub_2,"Williams, Johnson and Sanchez",162.56,100.2,10.21,50x29x36,MediumVioletRed,Fabric,154,48,SUPP_014,2022-12-31,2.4,False
PROD_000078,Optimized human-resource capacity,Automotive,Automotive_Sub_4,Brown Ltd,951.39,633.34,37.27,40x19x25,CornflowerBlue,Wood,217,94,SUPP_037,2024-07-12,2.6,False
